Hours,HPHtgLd_W
0,0
1,413.1
2,400.6
3,414.4
4,401.3
5,413.1
6,553.3
7,417.7
8,400.6
9,414.4
10,401.3
11,413
12,502.8
13,517.3
14,666.7
15,508.1
16,415
17,402.3
18,412.5
19,403
20,411.8
21,403.7
22,564.2
23,404.8
24,412.6
25,453.9
26,464.8
27,454
28,465.4
29,453.3
30,617.8
31,568.5
32,1178.2
33,2010.6
34,2184.9
35,2232.3
36,2647.4
37,3168.4
38,3021.8
39,1993.4
40,1920.6
41,2489.8
42,1573.4
43,1294.8
44,990
45,1088.1
46,620.5
47,464.2
48,461.9
49,457.3
50,463.7
51,456.5
52,464
53,455.8
54,617.7
55,567.7
56,1180.7
57,2014
58,2187.6
59,2235
60,2651
61,3176.3
62,3024.7
63,1998.7
64,1924.7
65,2493.2
66,1575.7
67,1297.4
68,986.6
69,1093.6
70,617.8
71,469.1
72,458
73,462.6
74,462.7
75,458.3
76,463
77,457.6
78,617.9
79,561.9
80,1188.6
81,2017.4
82,2188.8
83,2240.9
84,2655.3
85,3180.8
86,3029.2
87,2002.5
88,1928.5
89,2496.7
90,1577.6
91,1300.7
92,988.3
93,1092.8
94,621.1
95,468.8
96,453.7
97,467.9
98,460.3
99,461.8
100,463.3
101,458.7
102,618.3
103,560
104,1192.8
105,2020.8
106,2191.4
107,2245.5
108,2659.7
109,3185.7
110,3034.3
111,2005.6
112,1932.1
113,2500.5
114,1580
115,1303
116,989.7
117,1094.1
118,622
119,469.2
120,454.2
121,468.4
122,460.7
123,462.2
124,463.7
125,459.2
126,619
127,560.6
128,1194.5
129,2023.9
130,2195.1
131,2248.8
132,2663.9
133,3191.2
134,3039.4
135,2009
136,1934.2
137,2505.3
138,1583
139,1303.4
140,990.8
141,1098.1
142,620.2
143,470.5
144,458
145,465.4
146,464.1
147,459.7
148,464.4
149,458.9
150,620.1
151,564.4
152,772.9
153,988
154,1302.2
155,1197.5
156,1411
157,1252.3
158,1205.7
159,991
160,885.6
161,934.8
162,576.6
163,560.1
164,572.2
165,570.8
166,671.7
167,463.3
168,464.3
169,408.3
170,413.1
171,408.1
172,411.2
173,409.1
174,567.2
175,409.7
176,412.1
177,407.8
178,411.9
179,408.5
180,515.6
181,511.5
182,673.3
183,519.3
184,410
185,406.5
186,413.2
187,403.1
188,417
189,403.7
190,570.8
191,412.1
192,410.5
193,461.7
194,462.7
195,466.1
196,459.3
197,466.7
198,612.1
199,574.6
200,1189.3
201,2039.9
202,2203
203,2263.5
204,2676.6
205,3201.6
206,3057.5
207,2011.7
208,1948.2
209,2513.6
210,1587
211,1317.5
212,995.3
213,1092.8
214,632.9
215,469.2
216,458.3
217,468
218,457.9
219,469.5
220,457.1
221,469.5
222,621.1
223,565.2
224,1198.4
225,2038
226,2205.6
227,2265.4
228,2680.5
229,3210
230,3058.5
231,2020.9
232,1946.9
233,2520.4
234,1592.4
235,1310.8
236,996.1
237,1104.2
238,622.8
239,472.5
240,464.5
241,462.4
242,466.3
243,461.1
