Hours,HPHtgLd_W
0,0
1,15489.4
2,15502.8
3,15495.6
4,15487.4
5,15493.8
6,15503.3
7,15502.3
8,15489.8
9,20582.1
10,25656
11,30744.9
12,30741.2
13,30747.1
14,30743.8
15,30741.5
16,30746
17,30744.1
18,25660.1
19,15500.3
20,15501.1
21,15487.6
22,15488.1
23,15503.8
24,15502.7
25,15518.6
26,15512.1
27,15520.3
28,15528.2
29,15527.4
30,15512.8
31,15511.8
32,26388.3
33,32189.5
34,36603.3
35,43216
36,45426.8
37,39351.5
38,45428.7
39,43218.4
40,41009.3
41,34948
42,22814
43,18792
44,18786.9
45,18779.8
46,15910.2
47,15523.1
48,15512.3
49,15540
50,15553.1
51,15552.2
52,15539.6
53,15536.5
54,15550.8
55,15552.4
56,26418.1
57,32242.6
58,36658.1
59,43288.6
60,45493.4
61,39427.7
62,45496.2
63,43287.1
64,41082.7
65,35001.1
66,22851.2
67,18812.9
68,18811.3
69,18827.8
70,15915.2
71,15547.6
72,15552.7
73,15572.3
74,15561
75,15564.5
76,15577.6
77,15576.5
78,15564.4
79,15560.5
80,26470.5
81,32291.8
82,36719.4
83,43353.6
84,45570.6
85,39478.8
86,45572
87,43355.3
88,41138.7
89,35057.3
90,22888.4
91,18843.4
92,18854.5
93,18839.1
94,15961.3
95,15560.9
96,15562.4
97,15600.4
98,15600.7
99,15589.9
100,15584.3
101,15598.3
102,15601
103,15594.6
104,26499.4
105,32339.5
106,36773.2
107,43424.6
108,45643.9
109,39542.9
110,45638.2
111,43424.5
112,41207.3
113,35113.3
114,22919.9
115,18885.2
116,18870.6
117,18868.6
118,15984.7
119,15599.1
120,15584.8
121,15610.3
122,15625.3
123,15624.3
124,15611
125,15607.9
126,15624.6
127,15624.3
128,26539.6
129,32391.5
130,36829.5
131,43488.5
132,45710.3
133,39606
134,45705.5
135,43489.3
136,41273.2
137,35165.1
138,22958.4
139,18908.4
140,18897.2
141,18897.6
142,16006.9
143,15624.5
144,15612.3
145,15629.4
146,15646.9
147,15647.9
148,15639.4
149,15631
150,15643.4
151,15648
152,15642.2
153,21580.9
154,27050.4
155,32268.3
156,32273.2
157,32012.6
158,32016.5
159,31969.1
160,31974.7
161,31968.3
162,26287.8
163,15632.6
164,15644.8
165,15647.9
166,15640.8
167,15631.1
168,15641.3
169,15669.8
170,15667
171,15654.1
172,15660.7
173,15671.4
174,15669.7
175,15654.1
176,15658.1
177,20803.6
178,25945.6
179,31075.6
180,31080.9
181,31076.8
182,31079.6
183,31078.8
184,31076.2
185,31080.8
186,25941
187,15658.3
188,15671.2
189,15666.7
190,15654.1
191,15661
192,15671.4
193,15690.6
194,15676.7
195,15681.4
196,15694.2
197,15693.2
198,15676.9
199,15679.8
200,26670.2
201,32534.7
202,36993.4
203,43686.1
204,45908.2
205,39786
206,45910.8
207,43681.3
208,41456.5
209,35320.8
210,23061.2
211,18986.5
212,18981.1
213,18989.3
214,16069.4
215,15693.7
216,15687.3
217,15697.1
218,15709.2
219,15716.1
220,15710.5
221,15698.4
222,15708.4
223,15716
224,26697.9
225,32582.1
226,37045.2
227,43743.5
228,45979.7
229,39838.1
230,45975.6
231,43746.7
232,41512.1
233,35372.5
234,23091.2
235,19015.8
236,19018.7
237,19007.8
238,16103.5
239,15698.9
240,15702.8
241,15737.1
242,15737.5
243,15720.7
244,15724.5
245,15738.3
246,15737.5
247,15720.5
248,26738.7
249,32627.8
250,37100.6
251,43804.1
252,46041.4
253,39893.4
254,46044.5
255,43805.8
256,41572.8
257,35419.7
258,23125.1
259,19039.1
260,19034.9
261,19047.5
262,16109
263,15738.2
264,15735.3
265,15740.5
266,15748.8
267,15759.7
268,15756
269,15741.6
270,15749.8
271,15759.5
272,26772.2
273,32672.3
274,37148.2
275,43864.4
276,46108.3
277,39946.7
278,46107
279,43867.9
280,41624.9
281,35470.7
282,23157.4
283,19060.5
284,19078.4
285,19063.5
286,16139.2
287,15740.8
288,15758.9
289,15779
290,15767.8
291,15762.8
292,15781.4
293,15780
294,15766
295,15764.6
296,26818.2
297,32715.4
298,37199.2
299,43927.9
300,46162.8
301,40007.8
302,46164.4
303,43922.9
304,41686.2
305,35518.7
306,23184.4
307,19099.9
308,19090.9
309,19086.3
310,16169.1
311,15768.2
312,15762.8
313,15801
314,15800.9
315,15786.2
316,15785.9
317,15802
318,15800.9
319,15783.5
320,15788.7
321,21797.6
322,27323.6
323,32590.3
324,32589.6
325,32327.5
326,32330.5
327,32284.1
328,32289
329,32283.7
330,26544.9
331,15791.4
332,15788.6
333,15801.6
334,15798.9
335,15783.2
336,15791.1
337,15820.7
338,15816.3
339,15803.2
340,15815.3
341,15821.7
342,15813
343,15803.1
344,15818.6
345,21001
346,26194.7
347,31378.4
348,31377.1
349,31379.3
350,31378.6
351,31375.5
352,31381.9
353,31376.9
354,26190.6
355,15817.4
356,15803
357,15818.7
358,15821.5
359,15810.4
360,15802.9
361,15840.5
362,15841.2
363,15826.4
364,15826.5
365,15842.2
366,15840.6
367,15823.1
368,15830.6
369,21029.6
370,26228.2
371,31418.1
372,31417.4
373,31415.8
374,31421.2
375,31415.7
376,31420.4
377,31417.1
378,26223.6
379,15839.6
380,15823
381,15835.6
382,15841.6
383,15832.6
384,15822.7
385,15857.7
386,15860.9
387,15847.8
388,15844.3
389,15861.8
390,15860.8
391,15842.8
392,26949.3
393,32884.1
394,37391.2
395,44152.6
396,46400.1
397,40211.9
398,46401.7
399,44148.4
400,41900
401,35700.5
402,23304.2
403,19192.2
404,19193.8
405,19184
406,16249.6
407,15842.1
408,15854.5
409,15879.1
410,15871
411,15861
412,15879
413,15879.8
414,15865.4
415,15865.1
416,26988.2
417,32924.1
418,37435.4
419,44205.1
420,46460.1
421,40256.7
422,46459.9
423,44207
424,41946.6
425,35745.3
426,23334.5
427,19208.6
428,19216.6
429,19217.9
430,16252.2
431,15874.7
432,15880.2
433,15887.2
434,15879.8
435,15899.6
436,15898.5
437,15881.6
438,15886.1
439,15899.2
440,27010.6
441,32962.1
442,37478.4
443,44260.4
444,46520.6
445,40299.1
446,46520
447,44257.9
448,42001.5
449,35783.1
450,23363.1
451,19235.8
452,19230.1
453,19229.7
454,16289.3
455,15896.9
456,15880.1
457,15908
458,15917.3
459,15908.1
460,15897.7
461,15916.3
462,15916.9
463,15901.3
464,27043.7
465,33001.1
466,37524
467,44310.3
468,46564.6
469,40355.3
470,46565.9
471,44311.1
472,42047.2
473,35826.3
474,23389.3
475,19251.8
476,19267.6
477,19257.5
478,16295.2
479,15905.3
480,15917.6
481,15927.5
482,15915.6
483,15931.4
484,15934.9
485,15921.3
486,15919.1
487,15935.6
488,15932.5
489,21975.7
490,27548.2
491,32866.3
492,32862.2
493,32606.5
494,32600.4
495,32563.9
496,32559.5
497,32561.7
498,26769.8
499,15930.1
500,15915.4
501,15934.1
502,15934.7
503,15918.8
504,15921.6
505,15951.9
506,15947.2
507,15932.9
508,15947.9
509,15952.3
510,15939.3
511,15936.2
512,15953.2
513,21174.1
514,26407.9
515,31642.2
516,31635.8
517,31642.4
518,31636.7
519,31641.4
520,31637.6
521,31640.4
522,26407.3
523,15939.9
524,15952.6
525,15942.7
526,15932.7
527,15952.8
528,15952.1
529,15950.1
530,15958.1
531,15969.7
532,15961.4
533,15949.5
534,15967.8
535,15969
536,27125.6
537,33106.1
538,37650.9
539,44454.2
540,46722.8
541,40488.2
542,46721.2
543,44451.3
544,42187.3
545,35945.2
546,23465
547,19317.6
548,19331
549,19317.5
550,16351.5
551,15954.5
552,15970
553,15980.2
554,15966.2
555,15981.4
556,15985.8
557,15971.8
558,15970.6
559,15986.5
560,27159.6
561,33143
562,37686
563,44503.7
564,46776.8
565,40525.2
566,46772.9
567,44498.1
568,42230.9
569,35981.1
570,23487.6
571,19344.2
572,19344.5
573,19335.5
574,16374.6
575,15965.7
576,15984.1
577,16000.8
578,15984.9
579,15989.7
580,16002.4
581,15994.1
582,15981.9
583,16001
584,27189.9
585,33177.7
586,37722.5
587,44549
588,46824.8
589,40564.1
590,46822.9
591,44543.5
592,42273.9
593,36022.6
594,23505.8
595,19365.5
596,19362.1
597,19355.1
598,16392.7
599,15981.8
600,15998.6
601,16016.5
602,16001.8
603,16004.2
604,16018.1
605,16010.5
606,15997.5
607,16016.1
608,27216.7
609,33210.3
610,37759.6
611,44593.2
612,46871.2
613,40605
614,46867.6
615,44586.8
616,42315
617,36052.8
618,23534.5
619,19381.4
620,19384.1
621,19374.3
622,16404.8
623,15997.7
624,16018.7
625,16031.1
626,16012.9
627,16025.2
628,16032.9
629,16020.8
630,16015.6
631,16033.5
632,27240
633,33240.5
634,37797.5
635,44634.7
636,46912.9
637,40646.4
638,46907.7
639,44628.3
640,42355
641,36088.3
642,23558.8
643,19392.2
644,19407.3
645,19397.2
646,16412.1
647,16023.9
648,16033
649,16035.7
650,16029.5
651,16048.4
652,16044.4
653,16027.3
654,16042.3
655,16047.3
656,16032.6
657,22132.7
658,27748.1
659,33098.9
660,33097
661,32835
662,32837.7
663,32788.1
664,32795.2
665,32790.2
666,26960
667,16036.1
668,16047.5
669,16033.7
670,16032.1
671,16048.2
672,16041.7
673,16040.4
674,16059.2
675,16061.5
676,16043.7
677,16050.7
678,16062
679,16051.6
680,16042.8
681,21324.8
682,26593.6
683,31857.2
684,31855
685,31857.9
686,31855.5
687,31858.3
688,31856
689,31855.9
690,26588.8
691,16047.8
692,16062
693,16051.6
694,16042.7
695,16062.7
696,16059.3
697,16054.3
698,16069.9
699,16075.4
700,16060.3
701,16062
702,16076
703,16067.1
704,27309.6
705,33331.8
706,37898.9
707,44753.8
708,47032.4
709,40755
710,47037.5
711,44754.1
712,42465.6
713,36187
714,23621.9
715,19449.5
716,19444.6
717,19444.1
718,16470.6
719,16069.6
720,16054.9
721,16086
722,16088.5
723,16069.4
724,16079.9
725,16088.8
726,16076.8
727,16072.1
728,27343.7
729,33357.8
730,37927.5
731,44787.1
732,47081.2
733,40784.4
734,47079.9
735,44786
736,42503.8
737,36214
738,23640.1
739,19464.5
740,19473.3
741,19461.6
742,16473
743,16075.2
744,16089.2
745,16091.7
746,16081.3
747,16102.6
748,16099.4
749,16080.9
750,16096.1
751,16101.3
752,27351.7
753,33382.4
754,37966.5
755,44823.8
756,47107.7
757,40824.8
758,47110.4
759,44828
760,42535.7
761,36248.5
762,23658.2
763,19480.1
764,19476.5
765,19479.1
766,16493.3
767,16099.9
768,16081
769,16107.5
770,16113.8
771,16097.8
772,16101.2
773,16114.2
774,16103.9
775,16094.9
776,27386.7
777,33410.4
778,37987.1
779,44857.4
780,47155.2
781,40848.6
782,47152.9
783,44855.9
784,42570.1
785,36271.6
786,23677.6
787,19491.5
788,19504.8
789,19495.1
790,16494.2
791,16106.4
792,16113.9
793,16110.6
794,16111.5
795,16126.3
796,16116.8
797,16105.4
798,16126.8
799,16122.8
800,27392.5
801,33435.7
802,38018.7
803,44893.8
804,47180.3
805,40883.1
806,47186
807,44894.6
808,42599.1
809,36298
810,23696.8
811,19511.1
812,19505.4
813,19505.7
814,16522.6
815,16110.5
816,16112.7
817,16136.8
818,16127
819,16118.3
820,16138
821,16132.5
822,16116
823,16134.7
824,16136.7
825,22253.6
826,27898.9
827,33284.3
828,33279.2
829,33022.4
830,33021.1
831,32972.3
832,32978.1
833,32973.4
834,27111.2
835,16126
836,16137
837,16120.6
838,16124.7
839,16137.4
840,16126.6
841,16129.3
842,16148.8
843,16142.2
844,16126.7
845,16146.4
846,16147.7
847,16126.9
848,16141.1
849,21435.8
850,26734.2
851,32031.8
852,32025
853,32032.1
854,32024.7
855,32031.9
856,32024.8
857,32031.6
858,26731.3
859,16146.8
860,16129.5
861,16138.4
862,16148.1
863,16135.1
864,16132.2
865,16158.3
866,16150
867,16137.4
868,16159.3
869,16155.2
870,16137.1
871,16154.7
872,27457
873,33502.3
874,38095.1
875,44986.3
876,47279.2
877,40968.7
878,47275.3
879,44987.6
880,42687.2
881,36375.8
882,23742.9
883,19547.4
884,19545.4
885,19550.2
886,16549.1
887,16158
888,16137.3
889,16161.2
890,16168
891,16151.3
892,16156.3
893,16168.2
894,16156.3
895,16151.6
896,27479.2
897,33522.6
898,38114.5
899,45013.1
900,47314.9
901,40990.1
902,47305.9
903,45008.2
904,42714.8
905,36395.9
906,23759.5
907,19558.3
908,19557.5
909,19570.2
910,16548.8
911,16168.4
912,16156.2
913,16160.3
