Hours,HPHtgLd_W
0,0.0
1,1744.9
2,986.4
3,417.6
4,417.6
5,986.4
6,5347.5
7,18051.5
8,19189.2
9,18430.7
10,16155.4
11,14638.5
12,11794.3
13,10277.4
14,9139.7
15,8002.1
16,9139.7
17,10656.6
18,14069.6
19,16534.6
20,15776.2
21,14448.9
22,11794.3
23,10277.4
24,5726.7
25,1747.2
26,987.8
27,418.0
28,418.0
29,987.9
30,5357.0
31,18084.6
32,19224.4
33,18464.6
34,16185.0
35,14665.3
36,11815.8
37,10296.1
38,9156.3
39,8016.5
40,9156.3
41,10676.0
42,14095.4
43,16564.9
44,15805.1
45,14475.3
46,11815.8
47,10296.1
48,5737.0
49,1749.9
50,989.2
51,418.3
52,418.3
53,989.2
54,5366.4
55,18117.4
56,19259.3
57,18498.0
58,16214.3
59,14691.8
60,11837.1
61,10314.6
62,9172.7
63,8030.8
64,9172.7
65,10695.2
66,14120.8
67,16594.9
68,15833.6
69,14501.4
70,11837.1
71,10314.6
72,5747.1
73,1752.7
74,990.6
75,418.7
76,418.7
77,990.6
78,5375.7
79,18149.7
80,19293.6
81,18531.0
82,16243.1
83,14717.9
84,11858.0
85,10332.8
86,9188.9
87,8044.9
88,9188.9
89,10714.1
90,14145.9
91,16624.4
92,15861.8
93,14527.2
94,11858.0
95,10332.8
96,5757.0
97,1755.4
98,992.0
99,419.0
100,419.0
101,992.0
102,5384.9
103,18181.6
104,19327.5
105,18563.6
106,16271.6
107,14743.7
108,11878.7
109,10350.8
110,9204.8
111,8058.8
112,9204.8
113,10732.8
114,14170.7
115,16653.6
116,15889.6
117,14552.7
118,11878.7
119,10350.8
120,5766.9
121,1758.1
122,993.3
123,419.3
124,419.3
125,993.3
126,5393.9
127,18213.0
128,19361.0
129,18595.7
130,16299.7
131,14769.1
132,11899.1
133,10368.5
134,9220.5
135,8072.5
136,9220.5
137,10751.1
138,14195.1
139,16682.4
140,15917.0
141,14577.7
142,11899.1
143,10368.5
144,5776.6
145,1760.7
